Id,Favorite_color
200,Cool
201,Neutral
202,Warm
203,Warm
204,Cool
205,Warm
206,Cool
207,Warm
208,Warm
209,Neutral
210,Cool
211,Warm
212,Warm
213,Warm
214,Cool
215,Warm
216,Cool
217,Cool
218,Cool
219,Cool
220,Cool
221,Warm
222,Cool
223,Warm
224,Cool
225,Warm
226,Cool
227,Cool
228,Cool
229,Cool
230,Warm
231,Neutral
232,Cool
233,Warm
234,Neutral
235,Warm
236,Neutral
237,Cool
238,Cool
239,Warm
240,Cool
241,Neutral
242,Warm
243,Cool
244,Cool
245,Cool
246,Cool
247,Cool
248,Cool
249,Warm
250,Cool
251,Cool
252,Cool
253,Warm
254,Cool
255,Cool
256,Warm
257,Warm
258,Warm
259,Cool
260,Cool
261,Cool
262,Cool
263,Neutral
264,Cool
265,Cool
