id,Favorite_Music,Favorite_Color
200,Rock,Cool
201,HipHop,Neutral
202,Rock,Warm
203,Traditional,Warm
204,Rock,Cool
205,JazzBlues,Warm
206,Pop,Cool
207,Pop,Warm
208,Rock,Warm
209,Pop,Neutral
210,Pop,Cool
211,Pop,Warm
212,Pop,Warm
213,Electronic,Warm
214,Rock,Cool
215,JazzBlues,Warm
216,,
217,Rock,Cool
218,Rock,Cool
219,Pop,Cool
220,Pop,Cool
221,JazzBlues,Warm
222,Rock,Cool
223,Pop,Warm
224,Traditional,Cool
225,RNB,Warm
226,Pop,Cool
227,Pop,Cool
228,Pop,Cool
229,Electronic,Cool
230,Rock,Warm
231,Rock,Neutral
232,RNB,Cool
233,,Warm
234,HipHop,Neutral
235,Electronic,Warm
236,Rock,Neutral
237,Pop,Cool
238,Pop,Cool
239,Rock,Warm
240,Rock,Cool
241,,Neutral
242,RNB,Warm
243,Rock,Cool
244,Traditional,Cool
245,HipHop,Cool
246,HipHop,Cool
247,RNB,Cool
248,Rock,Cool
249,HipHop,Warm
250,RNB,Cool
251,Rock,Cool
252,HipHop,Cool
253,Rock,Warm
254,Electronic,Cool
255,Electronic,Cool
256,Traditional,Warm
257,Electronic,Warm
258,JazzBlues,Warm
259,Pop,Cool
260,Electronic,Cool
261,Rock,Cool
262,HipHop,Cool
263,HipHop,Neutral
264,Rock,Cool
265,Electronic,Cool
