id,HipHop,Pop,RNB,Rock,Neutral,Warm
200,0,0,0,1,0,0
201,1,0,0,0,1,0
202,0,0,0,1,0,1
204,0,0,0,1,0,0
206,0,1,0,0,0,0
207,0,1,0,0,0,1
208,0,0,0,1,0,1
209,0,1,0,0,1,0
210,0,1,0,0,0,0
211,0,1,0,0,0,1
212,0,1,0,0,0,1
213,0,0,0,0,0,1
214,0,0,0,1,0,0
217,0,0,0,1,0,0
218,0,0,0,1,0,0
219,0,1,0,0,0,0
220,0,1,0,0,0,0
222,0,0,0,1,0,0
223,0,1,0,0,0,1
225,0,0,1,0,0,1
226,0,1,0,0,0,0
227,0,1,0,0,0,0
228,0,1,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,1,0,1
231,0,0,0,1,1,0
232,0,0,1,0,0,0
234,1,0,0,0,1,0
235,0,0,0,0,0,1
236,0,0,0,1,1,0
237,0,1,0,0,0,0
238,0,1,0,0,0,0
239,0,0,0,1,0,1
240,0,0,0,1,0,0
242,0,0,1,0,0,1
243,0,0,0,1,0,0
245,1,0,0,0,0,0
246,1,0,0,0,0,0
247,0,0,1,0,0,0
248,0,0,0,1,0,0
249,1,0,0,0,0,1
250,0,0,1,0,0,0
251,0,0,0,1,0,0
252,1,0,0,0,0,0
253,0,0,0,1,0,1
254,0,0,0,0,0,0
255,0,0,0,0,0,0
257,0,0,0,0,0,1
259,0,1,0,0,0,0
260,0,0,0,0,0,0
261,0,0,0,1,0,0
262,1,0,0,0,0,0
263,1,0,0,0,1,0
264,0,0,0,1,0,0
265,0,0,0,0,0,0
